Gene stable ID	RefSeq ncRNA ID
ENSG00000205916	
ENSG00000205916	
ENSG00000129873	
ENSG00000251841	
ENSG00000184895	
ENSG00000237659	
ENSG00000232195	
ENSG00000286130	
ENSG00000129824	
ENSG00000129824	
ENSG00000129824	
ENSG00000129824	
ENSG00000229163	
ENSG00000278847	
ENSG00000067646	
ENSG00000067646	
ENSG00000067646	
ENSG00000067646	
ENSG00000067646	
ENSG00000067646	
ENSG00000067646	
ENSG00000233070	NR_144458
ENSG00000233070	
ENSG00000223600	
ENSG00000215414	
ENSG00000224035	
ENSG00000223915	
ENSG00000288512	
ENSG00000067048	
ENSG00000067048	
ENSG00000067048	
ENSG00000067048	NR_136718
ENSG00000067048	NR_136717
ENSG00000067048	NR_136716
ENSG00000067048	NR_136720
ENSG00000067048	NR_136721
ENSG00000067048	NR_136719
ENSG00000067048	NR_136723
ENSG00000067048	NR_136722
ENSG00000067048	NR_136724
ENSG00000067048	
ENSG00000067048	
ENSG00000067048	
ENSG00000067048	
ENSG00000067048	
ENSG00000234059	
ENSG00000288512	
ENSG00000288512	
ENSG00000288512	
ENSG00000288512	
ENSG00000288512	
ENSG00000288512	
ENSG00000288512	
ENSG00000288512	
ENSG00000288512	
ENSG00000288512	
ENSG00000288512	
ENSG00000288512	
ENSG00000288512	
ENSG00000288512	
ENSG00000288512	
ENSG00000288124	
ENSG00000288124	
ENSG00000288124	
ENSG00000288124	
ENSG00000288124	
ENSG00000288124	
ENSG00000288124	
ENSG00000288124	
ENSG00000288124	
ENSG00000288124	
ENSG00000288124	
ENSG00000288124	
ENSG00000288352	
ENSG00000288352	NR_026947
ENSG00000288352	
ENSG00000288352	
ENSG00000288352	
ENSG00000288369	
ENSG00000288369	
ENSG00000288369	
ENSG00000288369	
ENSG00000288369	
ENSG00000284403	
ENSG00000288383	
ENSG00000288383	
ENSG00000288427	
ENSG00000288427	
ENSG00000288427	
ENSG00000288427	
ENSG00000288427	
ENSG00000288427	
ENSG00000288427	
ENSG00000288427	
ENSG00000288427	
ENSG00000288427	
ENSG00000288427	
ENSG00000288427	
ENSG00000288427	
ENSG00000288427	
ENSG00000288427	
ENSG00000183878	NR_174404
ENSG00000288427	
ENSG00000183878	
ENSG00000288281	
ENSG00000288116	
ENSG00000288116	
ENSG00000183878	
ENSG00000183878	
ENSG00000183878	
ENSG00000183878	NR_047627
ENSG00000183878	NR_047602
ENSG00000183878	NR_047634
ENSG00000183878	NR_047600
ENSG00000183878	NR_047639
ENSG00000183878	NR_047635
ENSG00000183878	NR_047625
ENSG00000183878	NR_047646
ENSG00000183878	NR_047605
ENSG00000183878	NR_047608
ENSG00000183878	NR_047647
ENSG00000183878	NR_047604
ENSG00000183878	NR_047630
ENSG00000183878	NR_047596
ENSG00000183878	NR_047626
ENSG00000183878	NR_047631
ENSG00000183878	NR_047610
ENSG00000183878	NR_047629
ENSG00000183878	NR_047642
ENSG00000183878	NR_047641
ENSG00000183878	NR_047599
ENSG00000183878	NR_047628
ENSG00000183878	NR_047609
ENSG00000183878	NR_047606
ENSG00000183878	NR_047619
ENSG00000183878	NR_047615
ENSG00000183878	NR_047637
ENSG00000183878	NR_047636
ENSG00000183878	NR_047611
ENSG00000183878	NR_047623
ENSG00000183878	NR_047643
ENSG00000183878	NR_047616
ENSG00000183878	NR_047614
ENSG00000183878	NR_047638
ENSG00000183878	NR_047645
ENSG00000183878	NR_047598
ENSG00000183878	NR_047640
ENSG00000183878	NR_047597
ENSG00000183878	NR_047617
ENSG00000183878	NR_047624
ENSG00000183878	NR_047632
ENSG00000183878	NR_047603
ENSG00000183878	NR_047613
ENSG00000183878	NR_047622
ENSG00000183878	NR_047644
ENSG00000183878	NR_047607
ENSG00000183878	NR_047633
ENSG00000183878	NR_047618
ENSG00000183878	NR_047612
ENSG00000183878	NR_047621
ENSG00000183878	
ENSG00000183878	
ENSG00000183878	NR_047620
ENSG00000183878	NR_047601
ENSG00000183878	
ENSG00000183878	
ENSG00000183878	
ENSG00000183878	
ENSG00000183878	
ENSG00000183878	
ENSG00000183878	NR_174405
ENSG00000183878	
ENSG00000183878	
ENSG00000183878	
ENSG00000183878	
ENSG00000288217	
ENSG00000183878	
ENSG00000154620	
ENSG00000129864	
ENSG00000187191	
ENSG00000187191	
ENSG00000187191	
ENSG00000187191	
ENSG00000187191	
ENSG00000288217	
ENSG00000188120	
ENSG00000188120	
ENSG00000188120	
ENSG00000188120	
ENSG00000205936	
ENSG00000251925	
ENSG00000286744	
