Gene stable ID	MGI ID
ENSMUSG00000101367	MGI:5580190
ENSMUSG00000101665	MGI:5434084
ENSMUSG00000100778	MGI:5579614
ENSMUSG00000100835	MGI:5579613
ENSMUSG00000101446	MGI:5433913
ENSMUSG00000100045	MGI:5434285
ENSMUSG00000101018	MGI:5579616
ENSMUSG00000101178	MGI:5579615
ENSMUSG00000101566	MGI:5578982
ENSMUSG00000101190	MGI:5578980
ENSMUSG00000099942	MGI:5578981
ENSMUSG00000100864	MGI:5434657
ENSMUSG00000101368	MGI:5578996
ENSMUSG00000099682	MGI:5578998
ENSMUSG00000100227	MGI:5578997
ENSMUSG00000099456	MGI:5578999
ENSMUSG00000099594	MGI:5433904
ENSMUSG00000101267	MGI:5434076
ENSMUSG00000101783	MGI:5579404
ENSMUSG00000099466	MGI:5580010
ENSMUSG00000100089	MGI:5580011
ENSMUSG00000101542	MGI:5580009
ENSMUSG00000096518	MGI:5434058
ENSMUSG00000099509	MGI:5580013
ENSMUSG00000100424	MGI:5580263
ENSMUSG00002076770	MGI:6845176
ENSMUSG00000101490	MGI:5434283
ENSMUSG00000099993	MGI:5434286
ENSMUSG00000101534	MGI:5580012
ENSMUSG00000101364	MGI:5580006
ENSMUSG00000101422	MGI:5580007
ENSMUSG00000100184	MGI:5580264
ENSMUSG00000101967	MGI:5580261
ENSMUSG00000102035	MGI:5433897
ENSMUSG00000101228	MGI:5434685
ENSMUSG00000101723	MGI:5579061
ENSMUSG00000102056	MGI:5579060
ENSMUSG00000100052	MGI:5579059
ENSMUSG00000099442	MGI:5579058
ENSMUSG00000101148	MGI:5578906
ENSMUSG00000101580	MGI:5578907
ENSMUSG00000100054	MGI:5578908
ENSMUSG00000100207	MGI:5578909
ENSMUSG00000100142	MGI:5434695
ENSMUSG00000100889	MGI:5578910
ENSMUSG00000099607	MGI:5578911
ENSMUSG00000100242	MGI:5578912
ENSMUSG00000100167	MGI:5578913
ENSMUSG00000100144	MGI:5578914
ENSMUSG00000102103	MGI:5434015
ENSMUSG00000099527	MGI:5433983
ENSMUSG00000101045	MGI:5579930
ENSMUSG00000099920	MGI:5579929
ENSMUSG00000101021	MGI:5579928
ENSMUSG00000099485	MGI:5579927
ENSMUSG00000099548	MGI:5579926
ENSMUSG00000096875	MGI:5433979
ENSMUSG00000101891	MGI:5579838
ENSMUSG00000100238	MGI:5434805
ENSMUSG00000101103	MGI:5434007
ENSMUSG00000099866	MGI:5579595
ENSMUSG00000101910	MGI:5579397
ENSMUSG00000100579	MGI:5579398
ENSMUSG00000094217	MGI:5434150
ENSMUSG00000100057	MGI:5579396
ENSMUSG00000101592	MGI:5579395
ENSMUSG00000100609	MGI:5579393
ENSMUSG00000101993	MGI:5434342
ENSMUSG00000099935	MGI:5434082
ENSMUSG00000100012	MGI:5579913
ENSMUSG00000099836	MGI:5579910
ENSMUSG00000100575	MGI:5434844
ENSMUSG00000101676	MGI:5433996
ENSMUSG00000101510	MGI:5434928
ENSMUSG00000100404	MGI:5434932
ENSMUSG00000099865	MGI:5579912
ENSMUSG00000100474	MGI:5580320
ENSMUSG00000100757	MGI:5580319
ENSMUSG00000100606	MGI:5580318
ENSMUSG00000101170	MGI:5580049
ENSMUSG00000099355	MGI:5580048
ENSMUSG00000099739	MGI:5434160
ENSMUSG00000100874	MGI:5579304
ENSMUSG00000101689	MGI:5579305
ENSMUSG00000099626	MGI:5578891
ENSMUSG00000102108	MGI:5579743
ENSMUSG00000093950	MGI:5434179
ENSMUSG00000101323	MGI:5434041
ENSMUSG00000101466	MGI:5580254
ENSMUSG00000101614	MGI:5580253
ENSMUSG00000100307	MGI:5580252
ENSMUSG00000101882	MGI:5580251
ENSMUSG00000099585	MGI:5580250
ENSMUSG00000101182	MGI:5579915
