Gene stable ID	Transcript stable ID	Protein stable ID
ENSMUSG00000100822	ENSMUST00000188940	
ENSMUSG00000101471	ENSMUST00000190453	ENSMUSP00000139523
ENSMUSG00000101455	ENSMUST00000190371	
ENSMUSG00000099700	ENSMUST00000189117	
ENSMUSG00000101811	ENSMUST00000185976	
ENSMUSG00000099833	ENSMUST00000190655	
ENSMUSG00000101259	ENSMUST00000190489	
ENSMUSG00000101247	ENSMUST00000191564	
ENSMUSG00000100610	ENSMUST00000185316	
ENSMUSG00000099408	ENSMUST00000185236	
ENSMUSG00000099408	ENSMUST00000189442	
ENSMUSG00000101197	ENSMUST00000189797	
ENSMUSG00000101207	ENSMUST00000191136	
ENSMUSG00000101207	ENSMUST00000189637	
ENSMUSG00000102016	ENSMUST00000188564	
ENSMUSG00000102016	ENSMUST00000187995	
ENSMUSG00000099542	ENSMUST00000190977	
ENSMUSG00000101340	ENSMUST00000191009	
ENSMUSG00000100107	ENSMUST00000190270	
ENSMUSG00000099972	ENSMUST00000187765	
ENSMUSG00000100051	ENSMUST00000187762	
ENSMUSG00000100051	ENSMUST00000188639	
ENSMUSG00000101733	ENSMUST00000188018	
ENSMUSG00000099977	ENSMUST00000187736	
ENSMUSG00000099977	ENSMUST00000186707	
ENSMUSG00000099415	ENSMUST00000185500	
ENSMUSG00000100953	ENSMUST00000188196	
ENSMUSG00000100953	ENSMUST00000190649	
ENSMUSG00000096332	ENSMUST00000179551	
ENSMUSG00000099734	ENSMUST00000190296	
ENSMUSG00000100693	ENSMUST00000185603	
ENSMUSG00000100693	ENSMUST00000188061	
ENSMUSG00000100723	ENSMUST00000191229	
ENSMUSG00000101981	ENSMUST00000187675	
ENSMUSG00000100148	ENSMUST00000188431	
ENSMUSG00000100756	ENSMUST00000185655	
ENSMUSG00000099805	ENSMUST00000186669	
ENSMUSG00000101070	ENSMUST00000190300	
ENSMUSG00000100286	ENSMUST00000189187	
ENSMUSG00000101833	ENSMUST00000187310	
ENSMUSG00000102081	ENSMUST00000187350	
ENSMUSG00000102081	ENSMUST00000187889	
ENSMUSG00000101688	ENSMUST00000190209	
ENSMUSG00000099679	ENSMUST00000191161	
